,Unnamed: 0,Stationarity,Order,RMSE,MAPE,R2,Noise,Predictions Mean,Actual Mean,Model,Result
0,BOM524715,Stationary,"(0, 1, 1)",212.8804952984289,0.3582720284224898,-8.61615470259654,0.3566004015639237,321.4550604512494,512.6528409090912,,
1,BOM532488,,,,,,,,,,
2,BOM500124,,,,,,,,,,
3,BOM500180,,,,,,,,,,
4,BOM532174,,,,,,,,,,
5,BOM500247,,,,,,,,,,
6,BOM500470,,,,,,,,,,
7,BOM500228,,,,,,,,,,
8,BOM500440,,,,,,,,,,
9,BOM532977,,,,,,,,,,
10,BOM500570,,,,,,,,,,
11,BOM532500,,,,,,,,,,
12,BOM500209,,,,,,,,,,
13,BOM532540,,,,,,,,,,
14,BOM507685,,,,,,,,,,
BOM524715,,Stationary,"(0, 1, 1)",212.88049529842894,0.35827202842248984,-8.61615470259654,0.3566004015639237,321.4550604512494,512.6528409090912,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024405556790>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024405576D30>
BOM532488,,Stationary,,,,,,,,,
BOM500124,,Non-Stationary,"(2, 1, 2)",1543.2637085993422,0.3089561841407168,-4.838022613956811,0.4953263215512092,2982.82524683976,4398.125757575757,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244056E32E0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024404F31D00>
BOM500180,,Non-Stationary,"(0, 1, 0)",215.873438593641,0.16718927419986196,0.1074205059594665,0.18660320641288308,1206.8749248497072,1191.3210227272725,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244055D6C40>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440553AEE0>
BOM532174,,Non-Stationary,"(2, 1, 1)",129.37418451164956,0.3038965505476325,-0.6323427901664598,0.07467714828209722,517.3797179253519,431.7240530303029,<statsmodels.tsa.arima_model.ARIMA object at 0x000002442EA7A3D0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002442EA7AC10>
BOM500247,,Non-Stationary,"(1, 1, 2)",290.1923657416588,0.1915783832395045,-0.02582612390137773,0.2866723257058114,1638.3417484607442,1528.21875,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244047E7C40>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440485F820>
BOM500470,,Non-Stationary,"(2, 1, 2)",174.74806565713232,0.24724915397231928,-0.22433390957361032,0.07034459453211661,370.9116581093382,452.07632575757566,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024405603F10>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244056031C0>
BOM500228,,Non-Stationary,"(0, 1, 0)",95.5917297483236,0.2863398101078803,-0.13032561073682003,0.04618558776166992,241.06959037842125,281.7153409090906,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024404F314C0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024404F31430>
BOM500440,,Non-Stationary,"(0, 1, 0)",96.70127527930536,0.33621562387203596,-1.180995565087469,0.13733213068751982,131.65349268390312,192.29375,<statsmodels.tsa.arima_model.ARIMA object at 0x000002442EA65E20>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024405559910>
BOM532977,,Non-Stationary,,,,,,,,,
BOM500570,,Non-Stationary,,,,,,,,,
BOM532500,,Non-Stationary,"(2, 1, 2)",881.6736874052285,0.12355726873411636,0.18413465976418608,1.587953110898179,6474.623890894434,6530.981818181817,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244055D61C0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244055D6F40>
BOM500209,,Stationary,"(2, 1, 2)",620.3783393224403,0.4482279512013305,-5.224318041784149,1.8862368945705836,498.9287573916854,981.0748106060613,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244055683D0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440485F3D0>
BOM532540,,Non-Stationary,"(2, 1, 2)",569.6074769752083,0.16728376661836108,-0.48346918622342616,0.5098078398179752,2098.166083178566,2459.9272727272732,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244047EBCA0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440565A490>
BOM507685,,Stationary,"(5, 1, 3)",297.74191785005837,0.6889773344945247,-10.356811187235506,1.2442422178777772,64.23126324797533,302.5151515151515,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024405576C70>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024404F31C70>
