,Stock Name,Adjusted RMSE,Adjusted MAPE,Adjusted R2,Rounded Noise,Noise,Predictions Mean,Actual Mean,Model,Result
BOM524715,Sun Pharmaceutical Industries Ltd,317.3846,0.4627,-20.3748,5.0769,5.076907197,682.5301666,512.6528409,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244058BFC10>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244058BFBB0>
BOM532488,Divi's Laboratories Ltd.,4585.4947,1.2789,-55.9319,28.2324,28.23243804,-1090.299098,2955.110795,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244058149A0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244087D5DC0>
BOM500124,Dr. Reddy's Laboratories Ltd.,4271.753,0.8283,-43.7299,17.9521,17.95210861,558.1374042,4398.125758,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244087D5340>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440588E070>
BOM500180,HDFC Bank Ltd,373.087,0.2836,-1.6661,5.4074,5.407411727,858.0105423,1191.321023,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244058F8AC0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440588E910>
BOM532174,ICICI Bank Ltd.,146.5415,0.2542,-1.0943,4.4142,4.41421657,501.7014725,431.724053,<statsmodels.tsa.arima_model.ARIMA object at 0x000002440588ED60>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440886D7F0>
BOM500247,Kotak Mahindra Bank Ltd.,378.7946,0.1924,-0.7479,3.2541,3.254100383,1440.473051,1528.21875,<statsmodels.tsa.arima_model.ARIMA object at 0x000002440887A4F0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024407E3EB80>
BOM500470,Tata Steel Ltd.,119.0272,0.2286,0.432,3.7808,3.780754351,555.0594678,452.0763258,<statsmodels.tsa.arima_model.ARIMA object at 0x000002440887A280>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244087ED790>
BOM500228,JSW Steel Ltd.,408.3543,0.9355,-19.6271,4.1485,4.148482851,586.5461165,281.7153409,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244087FEB80>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440884C6D0>
BOM500440,Hindalco Industries Ltd.,199.1102,1.0832,-8.2465,3.4588,3.458808273,-0.351374685,192.29375,<statsmodels.tsa.arima_model.ARIMA object at 0x000002440882BF40>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x000002440882B970>
BOM532977,Bajaj Auto Ltd.,2721.444,0.7282,-26.5061,18.3689,18.36892193,780.5297309,3057.258144,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024415151160>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024407E27310>
BOM500570,Tata Motors Ltd.,307.9904,1.3272,-14.0863,5.6643,5.664278453,280.9858373,156.6452652,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024407F9AE50>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024407F9A070>
BOM532500,Maruti Suzuki India Ltd.,936.8442,0.1332,0.0788,7.4497,7.449749664,6479.859298,6530.981818,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024407DE4940>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024407E9BFD0>
BOM500209,Infosys Ltd.,2121.2104,1.5511,-71.7689,26.6379,26.637891,2390.982567,981.0748106,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024408018580>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024408018760>
BOM532540,Tata Consultancy Services Ltd.,1643.8293,0.5449,-11.3549,12.0075,12.00753849,1033.02987,2459.927273,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024408018730>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024407F336A0>
BOM507685,Wipro Ltd.,3380.3048,7.4569,-1462.8217,23.9361,23.93614322,2956.049738,302.5151515,<statsmodels.tsa.arima_model.ARIMA object at 0x0000024407E2EFD0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x0000024407E18160>
