,,RMSE Rounded,MAPE Rounded,Adjusted R2,Noise Rounded,Adjusted R2,R2 Rounded,Mean - Predicted,Mean - Actual,Model,Result
BOM524715,Sun Pharmaceutical Industries Ltd,2.2579,1.9178,0.1067,0.2571,0.106717442,0.1237,0.3038,0.2057,<statsmodels.tsa.arima_model.ARMA object at 0x000002441F847D90>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x000002441F966EB0>
BOM532488,Divi's Laboratories Ltd.,2.4537,7.5126,-0.094,0.253,-0.09399845,-0.0732,-0.7208,0.2202,<statsmodels.tsa.arima_model.ARMA object at 0x0000024427A78670>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x000002441F91C880>
BOM500124,Dr. Reddy's Laboratories Ltd.,2.4188,4.3708,-0.1778,0.2837,-0.177791473,-0.1554,-0.7768,0.1809,<statsmodels.tsa.arima_model.ARMA object at 0x0000024427A788E0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x000002441FB618B0>
BOM500180,HDFC Bank Ltd,2.5281,1.2856,0.0728,0.1858,0.072772093,0.0904,-0.0423,0.1257,<statsmodels.tsa.arima_model.ARMA object at 0x000002441F8B64F0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x000002441F8B67F0>
BOM532174,ICICI Bank Ltd.,0,0,-0.0194,0,-0.019379845,0,0,0,,
BOM500247,Kotak Mahindra Bank Ltd.,2.7607,1.7101,0.085,0.3174,0.085004651,0.1024,-0.3025,0.0901,<statsmodels.tsa.arima_model.ARMA object at 0x000002441F7F6400>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x000002441F8B6F70>
BOM500470,Tata Steel Ltd.,3.0017,2.1071,0.043,0.461,0.043006202,0.0612,0.4312,0.3173,<statsmodels.tsa.arima_model.ARMA object at 0x00000244E255EBB0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244E255EA00>
BOM500228,JSW Steel Ltd.,20.7521,19.5524,-44.4447,4.0015,-44.44466705,-43.5807,6.3284,0.2888,<statsmodels.tsa.arima_model.ARMA object at 0x00000244F248ECD0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244F248EE20>
BOM500440,Hindalco Industries Ltd.,3.4917,2.4766,0.075,0.3581,0.075014729,0.0926,0.2747,0.3687,<statsmodels.tsa.arima_model.ARMA object at 0x00000244F24DFF40>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244F24DFAF0>
BOM532977,Bajaj Auto Ltd.,2.5529,3.2526,-0.1204,0.3203,-0.120400388,-0.0991,-0.7016,0.1336,<statsmodels.tsa.arima_model.ARMA object at 0x00000244F2507EB0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244F2507BE0>
BOM500570,Tata Motors Ltd.,0,0,-0.0194,0,-0.019379845,0,0,0,,
BOM532500,Maruti Suzuki India Ltd.,2.8558,1.5959,0.0433,0.2093,0.043312016,0.0615,-0.0152,0.0944,<statsmodels.tsa.arima_model.ARMA object at 0x00000244F2551E50>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244F2507DF0>
BOM500209,Infosys Ltd.,2.3846,1.9176,0.0672,0.3597,0.067165504,0.0849,0.5265,0.2625,<statsmodels.tsa.arima_model.ARMA object at 0x00000244F25AB2E0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244F2558970>
BOM532540,Tata Consultancy Services Ltd.,2.0925,2.9534,0.0736,0.2968,0.073587597,0.0912,-0.2533,0.1954,<statsmodels.tsa.arima_model.ARMA object at 0x00000244F2614E80>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244F26146D0>
BOM507685,Wipro Ltd.,2.4691,1.33481E+13,0.0269,0.2805,0.0269,0.0454,0.8253,0.2712,<statsmodels.tsa.arima_model.ARMA object at 0x00000244F267A2B0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244F267F880>
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
n = ,264,,,,,,,,,,
p = ,5,,,,,,,,,,
