,StockName,MAPE ROUNDED,RMSE Rounded,Adjusted R2,Noise Rounded,,,Model
BOM524715,SUN PHARMACEUTICAL INDUSTRIES LTD. ,0.3904,304.2428,-0.1188,13.1691,,,<fbprophet.forecaster.Prophet object at 0x00000251516CD2B0>
BOM532488,DIVI'S LABORATORIES LTD. ,0.2752,254.2277,0.1496,17.1993,,,<fbprophet.forecaster.Prophet object at 0x000002515166F3D0>
BOM500124,DR.REDDY'S LABORATORIES LTD. ,0.2238,282.1355,0.7251,16.5184,,,<fbprophet.forecaster.Prophet object at 0x000002515148D880>
BOM500180,HDFC Bank Ltd ,0.496,263.7122,-0.2117,13.6428,,,<fbprophet.forecaster.Prophet object at 0x0000025150BC4A60>
BOM532174,ICICI BANK LTD. ,0.6093,248.9208,-0.1852,9.3178,,,<fbprophet.forecaster.Prophet object at 0x000002515060D6D0>
BOM500247,KOTAK MAHINDRA BANK LTD. ,0.3315,181.7316,0.3557,9.1876,,,<fbprophet.forecaster.Prophet object at 0x0000025150C02B20>
BOM500470,TATA STEEL LTD. ,0.3203,94.6067,-0.3791,5.4784,,,<fbprophet.forecaster.Prophet object at 0x0000025150C02E80>
BOM500228,JSW STEEL LTD. ,0.7581,287.5332,-0.2389,8.8111,,,<fbprophet.forecaster.Prophet object at 0x000002514EF43460>
BOM500440,HINDALCO INDUSTRIES LTD. ,0.9574,52.6246,-2.3444,8.9399,,,<fbprophet.forecaster.Prophet object at 0x0000025151BF2040>
BOM532977,BAJAJ AUTO LTD. ,0.0994,109.5728,-0.0212,15.2071,,,<fbprophet.forecaster.Prophet object at 0x0000025151C04160>
BOM500570,TATA MOTORS LTD. ,0.7396,199.3513,-0.9972,7.3445,,,<fbprophet.forecaster.Prophet object at 0x00000251515F9970>
BOM532500,MARUTI SUZUKI INDIA LTD. ,0.2716,817.5163,0.7508,26.6704,,,<fbprophet.forecaster.Prophet object at 0x0000025150BC4EE0>
BOM500209,INFOSYS LTD. ,0.5708,515.8749,-1.2303,34.9648,,,<fbprophet.forecaster.Prophet object at 0x0000025150BBD7F0>
BOM532540,TATA CONSULTANCY SERVICES LTD. ,0.1157,210.6804,0.7606,13.6322,,,<fbprophet.forecaster.Prophet object at 0x000002515148D7C0>
BOM507685,WIPRO LTD. ,0.4885,143.02,-3.7016,19.6247,,,<fbprophet.forecaster.Prophet object at 0x00000251504330D0>
