Stock Name,Stock Code,ADF test statistic,p-value,# lags used,#observations,critical value (1%),critical value (5%),critical value (10%),Result
SUN PHARMACEUTICAL INDUSTRIES LTD. ,BOM524715,-29.55173979220256,0.0,6.0,5273.0,-3.431590752179765,-2.8620882845436224,-2.567061851453409,Stationary
DIVI'S LABORATORIES LTD. ,BOM532488,-13.708769348692766,1.249178806866917e-25,23.0,4459.0,-3.431817384731168,-2.8621884080632585,-2.567115151370683,Stationary
DR.REDDY'S LABORATORIES LTD. ,BOM500124,-52.13077119020952,0.0,1.0,5279.0,-3.431589341280402,-2.8620876612014823,-2.5670615196265114,Stationary
HDFC Bank Ltd ,BOM500180,-54.396735638312165,0.0,1.0,5279.0,-3.431589341280402,-2.8620876612014823,-2.5670615196265114,Stationary
ICICI BANK LTD. ,BOM532174,-31.47042557930596,0.0,5.0,5274.0,-3.4315905168068292,-2.8620881805547453,-2.5670617960964766,Stationary
KOTAK MAHINDRA BANK LTD. ,BOM500247,-31.884829037518653,0.0,5.0,5274.0,-3.4315905168068292,-2.8620881805547453,-2.5670617960964766,Stationary
TATA STEEL LTD. ,BOM500470,-22.032222112876358,0.0,8.0,5272.0,-3.431590987642036,-2.8620883885719604,-2.567061906831349,Stationary
JSW STEEL LTD. ,BOM500228,-72.83304899319411,0.0,0.0,5258.0,-3.43159429352259,-2.8620898491246534,-2.567062684335023,Stationary
HINDALCO INDUSTRIES LTD. ,BOM500440,-71.44019817440358,0.0,0.0,5279.0,-3.431589341280402,-2.8620876612014823,-2.5670615196265114,Stationary
BAJAJ AUTO LTD. ,BOM532977,-13.294938982092718,7.237485560354411e-25,16.0,3160.0,-3.432421082272174,-2.8624550771782253,-2.567257116748117,Stationary
TATA MOTORS LTD. ,BOM500570,-15.073333152924715,8.66134652057462e-28,19.0,5260.0,-3.4315938201759937,-2.8620896399981266,-2.567062573009585,Stationary
MARUTI SUZUKI INDIA LTD. ,BOM532500,-64.61238907888044,0.0,0.0,4401.0,-3.4318367344317724,-2.8621969561738974,-2.5671197019459284,Stationary
INFOSYS LTD. ,BOM500209,-32.073114669603584,0.0,5.0,5275.0,-3.431590281523178,-2.8620880766053065,-2.56706174076054,Stationary
TATA CONSULTANCY SERVICES LTD. ,BOM532540,-14.141534697118033,2.2416044928862295e-26,31.0,4082.0,-3.4319529928875574,-2.8622483144634048,-2.5671470426612117,Stationary
WIPRO LTD. ,BOM507685,-15.477718160524505,2.5802479766246397e-28,33.0,5247.0,-3.4315969033822458,-2.86209100217108,-2.567063298142469,Stationary
